temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria
29.95,67.33,620.35,0.61,2024-10-03,05:52:00,86.06
5.75,93.95,20.61,0.69,2024-10-03,05:56:00,80.93
4.69,83.38,676.19,0.84,2024-10-03,06:00:00,81.28
45.48,87.25,31.2,0.72,2024-10-03,06:04:00,81.68
33.46,87.16,442.45,0.74,2024-10-03,06:08:00,81.31
41.46,78.73,499.24,0.36,2024-10-03,06:12:00,79.67
43.95,87.91,77.29,0.7,2024-10-03,06:16:00,83.51
28.59,80.85,34.57,0.51,2024-10-03,06:20:00,81.39
25.87,71.01,565.14,1.1,2024-10-03,06:24:00,86.26
21.52,79.64,276.96,0.39,2024-10-03,06:28:00,83.49
15.85,78.67,77.12,0.11,2024-10-03,06:32:00,82.58
21.73,88.82,549.12,0.27,2024-10-03,06:36:00,85.79
38.69,94.36,611.4,0.18,2024-10-03,06:40:00,83.35
30.1,74.39,422.92,0.63,2024-10-03,06:44:00,83.28
44.63,86.72,116.09,0.9,2024-10-03,06:48:00,80.57
22.17,63.49,10.96,0.16,2024-10-03,06:52:00,81.42
30.35,87.19,504.58,0.76,2024-10-03,06:56:00,83.88
31.57,73.0,396.1,0.72,2024-10-03,07:00:00,83.5
29.58,61.38,468.57,1.4,2024-10-03,07:04:00,80.67
35.13,72.71,585.49,1.02,2024-10-03,07:08:00,86.54
11.87,81.37,312.64,0.27,2024-10-03,07:12:00,81.45
25.62,64.17,89.65,0.36,2024-10-03,07:16:00,84.19
5.21,92.34,676.79,0.39,2024-10-03,07:20:00,82.36
19.23,62.72,392.59,1.26,2024-10-03,07:24:00,82.74
24.38,92.55,443.01,1.46,2024-10-03,07:28:00,81.14
32.61,84.75,672.06,0.7,2024-10-03,07:32:00,82.22
47.53,71.54,670.74,0.13,2024-10-03,07:36:00,78.71
30.03,73.68,411.91,0.43,2024-10-03,07:40:00,84.01
37.18,85.93,214.28,1.89,2024-10-03,07:44:00,83.29
25.31,81.05,717.92,0.52,2024-10-03,07:48:00,85.51
31.71,83.51,490.19,0.48,2024-10-03,07:52:00,81.93
3.55,73.62,294.07,1.15,2024-10-03,07:56:00,79.78
12.72,77.07,403.08,0.09,2024-10-03,08:00:00,84.75
18.09,94.65,299.4,0.13,2024-10-03,08:04:00,81.22
23.62,67.49,639.58,1.23,2024-10-03,08:08:00,74.58
2.28,74.62,347.4,0.79,2024-10-03,08:12:00,82.74
7.0,70.21,592.94,0.77,2024-10-03,08:16:00,83.6
13.84,86.78,604.93,0.07,2024-10-03,08:20:00,84.16
48.58,86.74,593.52,0.29,2024-10-03,08:24:00,79.91
16.57,70.24,519.98,0.72,2024-10-03,08:28:00,82.72
24.1,62.85,615.51,0.17,2024-10-03,08:32:00,82.85
9.8,60.4,278.81,0.68,2024-10-03,08:36:00,82.92
30.54,74.96,82.56,0.18,2024-10-03,08:40:00,80.48
14.03,74.36,606.57,0.11,2024-10-03,08:44:00,82.38
10.35,94.59,358.68,0.7,2024-10-03,08:48:00,83.9
25.83,76.44,91.71,0.52,2024-10-03,08:52:00,77.89
0.28,68.97,83.03,0.44,2024-10-03,08:56:00,81.62
0.38,91.19,114.65,0.47,2024-10-03,09:00:00,83.64
10.95,77.19,540.7,0.47,2024-10-03,09:04:00,84.86
1.84,80.97,511.82,0.08,2024-10-03,09:08:00,84.72
5.4,63.35,146.75,0.9,2024-10-03,09:12:00,83.5
16.94,73.4,609.78,1.18,2024-10-03,09:16:00,85.34
40.13,93.05,202.53,1.55,2024-10-03,09:20:00,83.55
28.6,80.63,570.95,0.61,2024-10-03,09:24:00,76.94
25.63,72.06,351.94,0.11,2024-10-03,09:28:00,80.68
14.67,81.9,526.72,0.88,2024-10-03,09:32:00,84.43
46.59,91.86,274.6,0.55,2024-10-03,09:36:00,80.55
19.85,69.59,249.94,0.58,2024-10-03,09:40:00,84.16
4.35,77.68,605.78,0.22,2024-10-03,09:44:00,83.1
30.85,93.55,25.42,0.68,2024-10-03,09:48:00,85.31
5.69,66.03,701.81,0.9,2024-10-03,09:52:00,80.67
17.26,85.19,466.69,0.55,2024-10-03,09:56:00,77.85
25.37,81.51,311.39,0.33,2024-10-03,10:00:00,81.1
43.71,83.79,452.2,0.35,2024-10-03,10:04:00,78.66
24.68,72.29,88.37,0.59,2024-10-03,10:08:00,80.58
35.11,70.99,370.12,0.34,2024-10-03,10:12:00,75.91
49.64,83.95,709.27,0.16,2024-10-03,10:16:00,81.52
6.57,67.54,169.39,0.87,2024-10-03,10:20:00,82.35
13.74,74.69,520.04,0.5,2024-10-03,10:24:00,82.45
19.73,66.59,313.18,0.56,2024-10-03,10:28:00,83.44
21.09,60.29,469.77,0.28,2024-10-03,10:32:00,82.1
20.55,93.95,147.52,0.16,2024-10-03,10:36:00,80.15
45.38,75.11,338.73,0.24,2024-10-03,10:40:00,83.94
35.7,93.93,705.67,0.31,2024-10-03,10:44:00,82.86
30.4,64.91,140.61,0.33,2024-10-03,10:48:00,81.29
15.47,80.56,458.24,0.44,2024-10-03,10:52:00,81.2
41.19,67.03,414.43,0.98,2024-10-03,10:56:00,80.16
47.75,87.65,406.84,0.81,2024-10-03,11:00:00,83.99
41.06,87.43,442.89,0.76,2024-10-03,11:04:00,81.47
0.08,63.94,361.61,0.17,2024-10-03,11:08:00,83.15
31.82,91.92,12.19,0.73,2024-10-03,11:12:00,77.38
2.56,66.81,648.07,0.96,2024-10-03,11:16:00,81.66
12.88,81.45,595.42,0.33,2024-10-03,11:20:00,81.93
2.98,94.5,125.4,0.16,2024-10-03,11:24:00,79.01
30.19,90.88,297.56,0.69,2024-10-03,11:28:00,79.86
34.33,93.48,554.8,0.8,2024-10-03,11:32:00,82.84
5.72,71.99,705.64,0.48,2024-10-03,11:36:00,82.54
19.19,63.7,684.82,0.89,2024-10-03,11:40:00,81.92
22.81,66.59,647.54,0.5,2024-10-03,11:44:00,83.92
18.45,77.52,114.03,0.21,2024-10-03,11:48:00,82.45
6.05,87.76,658.42,0.5,2024-10-03,11:52:00,84.11
20.95,65.26,632.48,0.54,2024-10-03,11:56:00,79.48
37.56,83.09,271.4,0.47,2024-10-03,12:00:00,81.76
3.55,71.33,284.06,0.13,2024-10-03,12:04:00,81.47
4.01,71.94,331.13,1.36,2024-10-03,12:08:00,78.84
17.74,83.17,472.45,1.88,2024-10-03,12:12:00,84.81
47.09,76.34,187.8,0.4,2024-10-03,12:16:00,80.33
33.43,88.42,16.52,0.43,2024-10-03,12:20:00,82.02
33.93,65.46,101.69,0.5,2024-10-03,12:24:00,80.25
18.1,87.65,316.88,0.45,2024-10-03,12:28:00,83.5
29.68,62.25,203.04,0.21,2024-10-03,12:32:00,80.7
0.51,66.79,550.45,0.85,2024-10-03,12:36:00,80.68
31.8,82.97,76.82,0.87,2024-10-03,12:40:00,81.24
45.66,89.92,660.57,0.44,2024-10-03,12:44:00,81.36
30.63,68.84,644.64,0.42,2024-10-03,12:48:00,80.09
43.68,71.45,654.3,0.41,2024-10-03,12:52:00,79.63
36.2,78.8,532.52,0.83,2024-10-03,12:56:00,80.09
6.03,67.41,77.04,0.49,2024-10-03,13:00:00,80.85
45.12,88.39,315.46,0.39,2024-10-03,13:04:00,81.69
3.32,87.08,94.61,0.16,2024-10-03,13:08:00,80.33
26.7,65.09,711.14,0.92,2024-10-03,13:12:00,78.86
7.11,76.23,239.79,0.26,2024-10-03,13:16:00,78.71
0.59,87.12,421.44,0.16,2024-10-03,13:20:00,79.29
21.1,71.81,561.16,0.73,2024-10-03,13:24:00,81.77
14.75,82.16,662.84,0.49,2024-10-03,13:28:00,82.86
24.3,61.76,543.99,1.95,2024-10-03,13:32:00,78.89
28.86,81.3,485.64,0.14,2024-10-03,13:36:00,81.94
2.19,65.34,335.51,0.3,2024-10-03,13:40:00,81.82
6.15,89.07,435.89,0.73,2024-10-03,13:44:00,84.74
27.93,72.44,67.8,0.47,2024-10-03,13:48:00,85.71
17.16,69.85,636.42,0.55,2024-10-03,13:52:00,83.18
36.46,89.43,391.52,0.55,2024-10-03,13:56:00,82.45
32.61,61.76,28.9,0.09,2024-10-03,14:00:00,82.1
42.28,73.88,662.33,0.57,2024-10-03,14:04:00,79.57
34.62,72.95,352.3,0.81,2024-10-03,14:08:00,78.73
21.5,69.97,625.38,0.23,2024-10-03,14:12:00,77.9
33.65,91.91,616.96,0.24,2024-10-03,14:16:00,81.32
13.77,86.28,587.34,0.34,2024-10-03,14:20:00,79.49
15.32,62.24,44.21,0.15,2024-10-03,14:24:00,82.58
39.45,85.01,177.89,0.2,2024-10-03,14:28:00,78.73
22.32,78.46,630.39,0.51,2024-10-03,14:32:00,81.48
39.92,91.53,647.27,1.11,2024-10-03,14:36:00,79.44
41.12,70.95,329.81,0.31,2024-10-03,14:40:00,78.2
42.88,80.1,316.83,1.44,2024-10-03,14:44:00,79.32
45.83,77.53,126.1,0.3,2024-10-03,14:48:00,79.65
21.55,77.13,697.26,0.86,2024-10-03,14:52:00,80.89
15.94,75.96,153.46,0.25,2024-10-03,14:56:00,79.72
29.11,67.2,137.47,0.64,2024-10-03,15:00:00,79.07
18.56,86.45,475.72,1.31,2024-10-03,15:04:00,79.31
30.05,75.8,174.85,0.74,2024-10-03,15:08:00,73.44
35.28,93.55,675.92,0.43,2024-10-03,15:12:00,80.14
34.42,69.13,7.85,0.41,2024-10-03,15:16:00,80.95
18.73,83.9,4.14,0.64,2024-10-03,15:20:00,80.03
8.34,92.93,363.51,0.79,2024-10-03,15:24:00,81.27
21.53,83.22,351.4,0.86,2024-10-03,15:28:00,82.79
7.13,90.49,117.62,0.51,2024-10-03,15:32:00,82.97
44.5,88.96,356.05,0.62,2024-10-03,15:36:00,82.8
17.29,72.6,296.4,0.24,2024-10-03,15:40:00,79.61
7.72,81.0,641.04,0.69,2024-10-03,15:44:00,78.97
1.27,65.47,6.66,0.26,2024-10-03,15:48:00,79.7
32.29,78.74,702.91,0.55,2024-10-03,15:52:00,82.02
31.85,68.06,449.56,0.37,2024-10-03,15:56:00,81.43
17.03,86.03,109.33,1.22,2024-10-03,16:00:00,79.27
3.59,78.48,33.67,0.51,2024-10-03,16:04:00,82.94
20.48,74.39,387.44,1.31,2024-10-03,16:08:00,78.56
15.56,69.41,169.12,0.47,2024-10-03,16:12:00,79.73
33.86,94.95,216.84,1.46,2024-10-03,16:16:00,81.18
30.29,62.51,176.5,0.71,2024-10-03,16:20:00,82.43
18.23,61.52,468.12,0.09,2024-10-03,16:24:00,83.07
10.89,67.6,398.54,0.37,2024-10-03,16:28:00,81.35
49.4,93.99,56.14,0.28,2024-10-03,16:32:00,78.26
22.7,94.27,379.1,0.16,2024-10-03,16:36:00,82.84
34.41,82.92,569.66,0.26,2024-10-03,16:40:00,78.63
7.03,90.8,58.46,0.32,2024-10-03,16:44:00,79.75
24.28,67.49,640.61,0.1,2024-10-03,16:48:00,78.73
1.38,94.02,416.38,0.43,2024-10-03,16:52:00,80.51
25.27,65.0,684.45,0.69,2024-10-03,16:56:00,78.64
48.2,63.54,106.66,1.98,2024-10-03,17:00:00,81.62
19.21,63.93,715.37,1.15,2024-10-03,17:04:00,81.5
1.95,80.06,463.88,0.41,2024-10-03,17:08:00,82.17
1.55,87.33,408.6,0.5,2024-10-03,17:12:00,81.22
19.4,72.83,371.0,0.73,2024-10-03,17:16:00,81.09
8.0,94.23,17.03,0.44,2024-10-03,17:20:00,78.68
1.17,75.2,676.54,0.52,2024-10-03,17:24:00,79.27
37.81,65.27,463.68,0.26,2024-10-03,17:28:00,80.42
22.93,76.31,65.97,0.48,2024-10-03,17:32:00,80.58
14.46,83.77,15.09,0.54,2024-10-03,17:36:00,79.94
45.0,89.13,36.56,0.17,2024-10-03,17:40:00,81.71
5.81,76.06,438.76,0.72,2024-10-03,17:44:00,85.22
47.8,80.78,442.09,0.74,2024-10-03,17:48:00,81.39
15.7,69.36,359.76,0.77,2024-10-03,17:52:00,79.23
44.42,82.61,220.87,0.27,2024-10-03,17:56:00,82.13
30.15,94.51,382.85,1.31,2024-10-03,18:00:00,79.31
41.34,61.72,371.74,0.38,2024-10-03,18:04:00,81.26
49.2,91.03,13.98,0.18,2024-10-03,18:08:00,81.49
14.42,79.68,203.38,1.25,2024-10-03,18:12:00,81.0
48.06,68.82,38.29,0.22,2024-10-03,18:16:00,79.34
19.47,93.42,648.11,0.61,2024-10-03,18:20:00,80.67
19.28,76.92,522.16,0.3,2024-10-03,18:24:00,79.5
17.02,71.61,717.2,0.12,2024-10-03,18:28:00,79.49
27.07,66.35,217.56,0.21,2024-10-03,18:32:00,77.19
7.71,68.56,632.51,1.16,2024-10-03,18:36:00,80.24
27.69,89.15,434.2,0.5,2024-10-03,18:40:00,84.81
27.09,81.5,326.25,0.33,2024-10-03,18:44:00,75.46
38.1,91.96,160.25,0.4,2024-10-03,18:48:00,76.01
41.68,68.12,531.64,0.19,2024-10-03,18:52:00,80.57
22.02,64.24,650.98,0.25,2024-10-03,18:56:00,81.95
15.12,60.21,169.42,0.86,2024-10-03,19:00:00,77.75
12.97,77.78,126.28,0.58,2024-10-03,19:04:00,80.86
9.73,94.94,501.28,0.48,2024-10-03,19:08:00,80.1
2.88,84.32,703.42,0.42,2024-10-03,19:12:00,79.21
17.12,70.79,539.97,0.1,2024-10-03,19:16:00,81.17
13.51,90.69,204.9,0.45,2024-10-03,19:20:00,78.38
48.32,87.36,302.37,0.86,2024-10-03,19:24:00,82.43
27.89,60.54,276.71,0.3,2024-10-03,19:28:00,76.56
17.36,88.59,613.51,0.46,2024-10-03,19:32:00,80.21
29.02,70.52,555.39,0.05,2024-10-03,19:36:00,80.58
6.96,65.24,424.06,1.09,2024-10-03,19:40:00,80.03
22.2,67.92,197.97,1.32,2024-10-03,19:44:00,79.32
31.31,76.4,675.35,1.32,2024-10-03,19:48:00,81.6
24.44,74.87,470.39,0.12,2024-10-03,19:52:00,79.52
20.09,70.11,698.74,0.91,2024-10-03,19:56:00,77.29
49.69,66.03,417.68,0.95,2024-10-03,20:00:00,78.95
44.02,86.68,591.26,0.48,2024-10-03,20:04:00,80.5
31.17,94.65,585.44,0.37,2024-10-03,20:08:00,79.21
28.47,87.22,242.88,0.91,2024-10-03,20:12:00,79.64
31.03,70.36,694.09,0.52,2024-10-03,20:16:00,81.83
10.07,68.57,15.8,0.25,2024-10-03,20:20:00,79.08
19.76,67.62,553.47,0.78,2024-10-03,20:24:00,80.08
1.97,64.78,695.2,1.07,2024-10-03,20:28:00,79.87
23.78,79.3,244.01,0.86,2024-10-03,20:32:00,82.4
27.15,81.19,466.64,0.9,2024-10-03,20:36:00,80.34
11.39,84.69,404.8,0.19,2024-10-03,20:40:00,81.84
48.2,83.81,548.29,0.32,2024-10-03,20:44:00,78.79
45.47,70.23,623.65,0.58,2024-10-03,20:48:00,83.73
36.11,71.56,434.19,1.23,2024-10-03,20:52:00,81.88
26.67,83.85,587.45,0.25,2024-10-03,20:56:00,83.52
43.5,72.23,224.85,1.19,2024-10-03,21:00:00,80.6
6.53,67.44,164.58,0.09,2024-10-03,21:04:00,78.98
39.53,73.1,310.08,1.09,2024-10-03,21:08:00,79.73
6.24,69.52,487.97,1.03,2024-10-03,21:12:00,80.59
39.71,63.09,134.82,1.67,2024-10-03,21:16:00,80.56
13.79,89.05,489.85,0.94,2024-10-03,21:20:00,79.34
43.85,89.86,283.75,0.62,2024-10-03,21:24:00,80.12
47.2,67.69,572.81,0.37,2024-10-03,21:28:00,80.65
7.44,62.27,26.52,0.33,2024-10-03,21:32:00,78.51
23.13,85.86,480.95,0.47,2024-10-03,21:36:00,79.39
49.05,67.4,467.87,0.35,2024-10-03,21:40:00,82.79
24.17,73.77,677.47,0.78,2024-10-03,21:44:00,82.51
43.18,62.24,513.62,0.93,2024-10-03,21:48:00,78.51
29.44,67.92,573.34,0.24,2024-10-03,21:52:00,83.88
18.77,87.75,651.31,0.96,2024-10-03,21:56:00,78.49
14.29,88.15,486.04,0.65,2024-10-03,22:00:00,80.89
10.16,67.25,208.91,0.39,2024-10-03,22:04:00,82.73
38.09,71.76,626.24,1.08,2024-10-03,22:08:00,78.47
19.33,64.7,538.26,0.27,2024-10-03,22:12:00,77.8
25.56,62.6,305.6,0.16,2024-10-03,22:16:00,81.03
24.62,94.73,511.58,0.26,2024-10-03,22:20:00,79.9
28.86,82.95,624.74,0.32,2024-10-03,22:24:00,79.34
43.28,78.97,702.47,1.05,2024-10-03,22:28:00,77.31
49.04,86.79,685.69,1.01,2024-10-03,22:32:00,82.65
20.38,89.4,234.24,0.51,2024-10-03,22:36:00,80.51
41.38,88.24,303.62,0.07,2024-10-03,22:40:00,81.37
38.23,60.58,78.87,0.28,2024-10-03,22:44:00,82.32
28.68,66.54,178.23,1.57,2024-10-03,22:48:00,76.51
47.8,82.92,635.34,0.89,2024-10-03,22:52:00,80.33
10.02,73.15,259.81,0.07,2024-10-03,22:56:00,76.93
5.46,94.39,446.8,0.04,2024-10-03,23:00:00,81.46
42.7,83.29,479.5,0.86,2024-10-03,23:04:00,82.64
21.96,93.48,562.92,1.21,2024-10-03,23:08:00,79.76
42.35,67.05,131.62,0.2,2024-10-03,23:12:00,79.8
44.65,90.24,219.47,0.27,2024-10-03,23:16:00,81.07
3.12,71.25,322.8,0.99,2024-10-03,23:20:00,80.87
44.17,94.63,262.69,0.39,2024-10-03,23:24:00,79.47
22.42,65.52,707.69,0.43,2024-10-03,23:28:00,81.32
25.52,78.07,601.16,0.42,2024-10-03,23:32:00,79.42
31.33,87.75,345.37,0.55,2024-10-03,23:36:00,80.5
46.32,75.14,633.07,0.63,2024-10-03,23:40:00,77.37
0.96,76.38,250.31,1.65,2024-10-03,23:44:00,82.17
23.84,94.52,565.8,0.37,2024-10-03,23:48:00,78.12
34.39,74.89,161.05,0.43,2024-10-03,23:52:00,80.49
36.14,81.14,556.07,0.19,2024-10-03,23:56:00,77.59
34.63,61.91,328.65,0.54,2024-10-04,00:00:00,78.95
6.72,89.48,77.4,1.04,2024-10-04,00:04:00,78.8
14.97,82.69,196.75,0.27,2024-10-04,00:08:00,80.87
17.94,74.14,289.64,0.24,2024-10-04,00:12:00,82.77
40.22,60.57,539.49,0.98,2024-10-04,00:16:00,78.28
13.94,80.71,52.55,0.63,2024-10-04,00:20:00,77.97
10.54,60.44,474.87,0.24,2024-10-04,00:24:00,81.87
47.87,60.04,515.53,0.56,2024-10-04,00:28:00,78.35
0.44,81.56,470.82,0.22,2024-10-04,00:32:00,84.42
49.89,66.62,547.68,0.38,2024-10-04,00:36:00,77.65
33.84,66.72,128.28,0.41,2024-10-04,00:40:00,81.21
41.42,82.86,422.71,0.97,2024-10-04,00:44:00,76.68
14.73,61.88,677.62,0.75,2024-10-04,00:48:00,77.71
0.72,70.97,439.76,1.01,2024-10-04,00:52:00,77.77
36.89,65.23,440.16,0.37,2024-10-04,00:56:00,78.53
41.71,80.31,530.24,0.7,2024-10-04,01:00:00,81.37
37.02,83.16,239.91,0.1,2024-10-04,01:04:00,79.63
7.14,85.24,504.34,0.23,2024-10-04,01:08:00,81.99
37.67,68.93,659.69,0.16,2024-10-04,01:12:00,81.31
38.45,63.12,7.84,0.87,2024-10-04,01:16:00,77.7
32.93,62.75,626.48,1.47,2024-10-04,01:20:00,79.46
38.31,74.92,157.41,0.42,2024-10-04,01:24:00,82.12
42.3,93.1,328.26,0.74,2024-10-04,01:28:00,77.95
30.68,67.62,613.69,0.72,2024-10-04,01:32:00,80.8
4.43,68.99,593.22,1.38,2024-10-04,01:36:00,78.2
24.38,63.53,642.19,0.38,2024-10-04,01:40:00,77.73
3.88,81.19,677.1,0.53,2024-10-04,01:44:00,79.03
20.38,83.8,321.95,0.24,2024-10-04,01:48:00,77.4
20.36,82.5,472.58,0.17,2024-10-04,01:52:00,82.1
3.3,90.14,281.14,0.8,2024-10-04,01:56:00,73.95
17.44,77.02,252.52,0.28,2024-10-04,02:00:00,80.64
5.55,64.71,310.75,0.29,2024-10-04,02:04:00,80.62
40.41,70.13,535.01,0.68,2024-10-04,02:08:00,78.67
47.38,83.19,361.04,0.4,2024-10-04,02:12:00,75.57
3.62,81.46,586.12,0.82,2024-10-04,02:16:00,80.48
47.76,78.59,536.56,0.83,2024-10-04,02:20:00,78.66
26.13,83.9,14.74,0.57,2024-10-04,02:24:00,78.3
14.98,82.31,453.77,0.52,2024-10-04,02:28:00,81.92
3.84,90.85,314.33,1.45,2024-10-04,02:32:00,82.47
25.03,80.51,328.77,0.45,2024-10-04,02:36:00,78.51
39.73,87.25,589.23,0.85,2024-10-04,02:40:00,77.97
35.35,68.7,394.28,0.22,2024-10-04,02:44:00,74.0
2.51,83.74,637.65,0.51,2024-10-04,02:48:00,76.3
3.65,91.58,513.22,0.86,2024-10-04,02:52:00,77.93
20.14,73.5,398.04,0.25,2024-10-04,02:56:00,81.64
14.76,87.27,543.27,0.47,2024-10-04,03:00:00,80.38
11.62,85.37,27.61,0.5,2024-10-04,03:04:00,81.59
14.05,62.08,19.5,0.26,2024-10-04,03:08:00,80.85
40.17,80.35,60.01,0.29,2024-10-04,03:12:00,79.46
46.46,64.56,315.05,0.21,2024-10-04,03:16:00,79.64
20.26,93.86,169.52,0.06,2024-10-04,03:20:00,80.51
45.31,88.4,708.67,0.22,2024-10-04,03:24:00,78.98
16.07,63.84,390.45,0.56,2024-10-04,03:28:00,80.06
23.82,64.26,476.94,0.3,2024-10-04,03:32:00,80.14
11.3,80.81,200.75,0.47,2024-10-04,03:36:00,79.89
32.02,72.07,231.69,0.52,2024-10-04,03:40:00,78.26
48.95,61.22,241.53,0.42,2024-10-04,03:44:00,82.07
30.17,78.96,503.09,0.85,2024-10-04,03:48:00,82.03
17.89,73.57,341.07,1.78,2024-10-04,03:52:00,76.85
32.39,63.54,372.73,0.23,2024-10-04,03:56:00,75.33
6.15,88.07,426.24,0.97,2024-10-04,04:00:00,78.48
44.43,92.03,553.54,0.26,2024-10-04,04:04:00,77.75
25.15,86.48,65.07,0.65,2024-10-04,04:08:00,76.05
22.47,88.78,559.35,0.16,2024-10-04,04:12:00,78.58
29.29,67.58,405.53,0.61,2024-10-04,04:16:00,82.18
31.24,69.23,481.75,0.36,2024-10-04,04:20:00,80.23
3.59,67.3,235.84,0.35,2024-10-04,04:24:00,80.95
34.13,86.78,294.76,0.56,2024-10-04,04:28:00,81.95
12.1,93.18,166.44,0.2,2024-10-04,04:32:00,80.84
35.7,85.09,705.1,0.2,2024-10-04,04:36:00,78.96
41.13,90.85,357.84,0.37,2024-10-04,04:40:00,81.61
40.2,82.35,717.18,0.95,2024-10-04,04:44:00,77.67
27.63,73.57,352.65,0.38,2024-10-04,04:48:00,76.22
26.01,74.9,158.22,1.81,2024-10-04,04:52:00,82.05
7.14,62.64,365.37,2.15,2024-10-04,04:56:00,82.32
38.77,61.1,28.51,0.47,2024-10-04,05:00:00,78.42
13.57,84.34,651.43,1.41,2024-10-04,05:04:00,78.16
24.83,75.35,589.36,0.23,2024-10-04,05:08:00,80.34
14.21,79.33,522.59,0.51,2024-10-04,05:12:00,77.02
6.69,79.52,439.08,0.58,2024-10-04,05:16:00,78.73
31.48,69.71,417.48,0.75,2024-10-04,05:20:00,79.67
2.72,76.66,717.64,0.13,2024-10-04,05:24:00,77.81
37.43,76.48,200.16,0.55,2024-10-04,05:28:00,81.38
15.88,73.59,561.37,1.15,2024-10-04,05:32:00,79.69
0.01,88.72,418.61,0.05,2024-10-04,05:36:00,78.89
25.56,75.79,702.63,0.24,2024-10-04,05:40:00,81.12
2.34,81.13,596.02,1.17,2024-10-04,05:44:00,79.45
13.81,91.34,718.94,0.3,2024-10-04,05:48:00,77.71
35.35,90.32,423.59,0.54,2024-10-04,05:52:00,81.66
3.13,91.16,147.27,0.66,2024-10-04,05:56:00,79.07
41.97,69.45,362.65,0.25,2024-10-04,06:00:00,72.47
0.19,61.22,512.0,0.18,2024-10-04,06:04:00,79.67
12.34,69.14,557.54,0.42,2024-10-04,06:08:00,75.26
37.05,69.75,0.37,1.02,2024-10-04,06:12:00,83.27
15.81,91.83,363.62,0.56,2024-10-04,06:16:00,79.81
5.09,82.72,169.37,0.18,2024-10-04,06:20:00,79.8
18.01,62.86,629.94,0.86,2024-10-04,06:24:00,80.57
13.52,64.74,110.09,0.19,2024-10-04,06:28:00,75.5
42.14,65.45,479.85,0.65,2024-10-04,06:32:00,79.85
15.67,82.06,191.56,0.43,2024-10-04,06:36:00,77.02
39.45,85.74,256.71,0.34,2024-10-04,06:40:00,78.22
44.59,90.09,677.2,0.4,2024-10-04,06:44:00,79.9
21.69,92.92,173.12,0.44,2024-10-04,06:48:00,77.91
45.5,67.06,68.4,0.48,2024-10-04,06:52:00,75.17
18.87,70.84,49.89,0.58,2024-10-04,06:56:00,79.96
48.2,68.41,363.32,0.95,2024-10-04,07:00:00,80.43
4.46,72.56,462.03,1.54,2024-10-04,07:04:00,76.78
34.35,92.01,235.65,0.49,2024-10-04,07:08:00,77.41
24.69,80.13,496.99,0.88,2024-10-04,07:12:00,78.58
19.38,85.84,43.94,0.53,2024-10-04,07:16:00,82.81
31.64,77.15,617.28,0.38,2024-10-04,07:20:00,82.42
35.19,61.01,587.93,0.6,2024-10-04,07:24:00,81.13
0.22,62.25,709.56,0.13,2024-10-04,07:28:00,83.09
8.35,78.83,674.28,0.22,2024-10-04,07:32:00,81.09
35.65,85.16,256.46,0.17,2024-10-04,07:36:00,79.47
33.32,67.54,287.48,0.58,2024-10-04,07:40:00,76.71
48.3,85.27,537.09,0.07,2024-10-04,07:44:00,75.45
38.05,88.37,96.54,0.15,2024-10-04,07:48:00,77.92
47.54,74.42,226.09,0.09,2024-10-04,07:52:00,79.28
35.13,86.12,85.35,0.5,2024-10-04,07:56:00,83.49
14.9,74.14,327.52,0.34,2024-10-04,08:00:00,78.43
5.27,83.74,397.44,0.4,2024-10-04,08:04:00,79.18
39.09,86.74,152.04,0.65,2024-10-04,08:08:00,79.55
32.21,94.72,19.17,0.46,2024-10-04,08:12:00,79.27
2.41,72.09,517.94,0.37,2024-10-04,08:16:00,82.4
18.0,74.39,14.4,0.07,2024-10-04,08:20:00,81.49
47.84,65.8,700.85,0.65,2024-10-04,08:24:00,78.84
25.02,67.14,159.56,0.06,2024-10-04,08:28:00,77.57
21.64,84.27,478.01,0.56,2024-10-04,08:32:00,77.69
22.88,92.1,313.02,2.81,2024-10-04,08:36:00,78.87
10.44,73.81,42.97,0.73,2024-10-04,08:40:00,77.38
18.44,66.29,339.97,0.28,2024-10-04,08:44:00,80.6
18.49,69.98,372.07,0.92,2024-10-04,08:48:00,77.43
2.62,75.93,615.37,1.71,2024-10-04,08:52:00,81.88
38.38,70.17,527.29,1.03,2024-10-04,08:56:00,80.15
20.83,68.18,57.1,1.26,2024-10-04,09:00:00,76.15
41.11,85.76,150.6,0.23,2024-10-04,09:04:00,81.7
42.52,60.27,224.56,0.34,2024-10-04,09:08:00,76.1
10.6,78.87,83.81,0.81,2024-10-04,09:12:00,81.95
32.87,87.78,328.97,0.45,2024-10-04,09:16:00,80.21
23.61,69.32,708.7,0.21,2024-10-04,09:20:00,83.2
44.01,81.12,370.52,0.74,2024-10-04,09:24:00,73.64
10.79,83.41,534.16,0.81,2024-10-04,09:28:00,78.99
33.89,82.93,491.72,0.38,2024-10-04,09:32:00,78.64
30.39,75.6,611.94,0.18,2024-10-04,09:36:00,77.45
14.77,72.13,155.32,0.33,2024-10-04,09:40:00,80.66
6.83,89.26,542.75,0.35,2024-10-04,09:44:00,78.03
32.58,86.55,634.58,0.53,2024-10-04,09:48:00,81.54
36.93,71.24,123.49,0.16,2024-10-04,09:52:00,76.79
15.78,63.61,249.7,0.42,2024-10-04,09:56:00,74.81
